sample_887	sample_257	sample_377	sample_594	sample_220	sample_352	sample_266	sample_665	sample_986	sample_699	sample_593	sample_111	sample_88	sample_446	sample_267	sample_188	sample_973	sample_325	sample_211	sample_660	sample_901	sample_116	sample_669	sample_588	sample_358	sample_215	sample_76	sample_265	sample_46	sample_182	sample_936	sample_546	sample_280	sample_994	sample_262	sample_15	sample_978	sample_828	sample_423	sample_899	sample_898	sample_792	sample_734	sample_242	sample_49	sample_644	sample_61	sample_837	sample_443	sample_469	sample_808	sample_954	sample_195	sample_789	sample_557	sample_194	sample_632	sample_860	sample_886	sample_841	sample_34	sample_780	sample_334	sample_387	sample_612	sample_433	sample_798	sample_793	sample_246	sample_166	sample_183	sample_44	sample_498	sample_293	sample_866	sample_929	sample_278	sample_778	sample_630	sample_795	sample_140	sample_829	sample_673	sample_732	sample_59	sample_83	sample_613	sample_646	sample_180	sample_200	sample_809	sample_471	sample_979	sample_518	sample_87	sample_714	sample_411	sample_722	sample_512	sample_289	sample_786	sample_28	sample_404	sample_122	sample_238	sample_64	sample_31	sample_730	sample_131	sample_696	sample_843	sample_909	sample_707	sample_317	sample_441	sample_721	sample_277	sample_344	sample_189	sample_713	sample_400	sample_604	sample_154	sample_38	sample_904	sample_508	sample_436	sample_442	sample_233	sample_692	sample_870	sample_10	sample_602	sample_158	sample_307	sample_631	sample_424	sample_519	sample_305	sample_354	sample_955	sample_376	sample_229	sample_524	sample_231	sample_385	sample_218	sample_657	sample_142	sample_248	sample_641	sample_148	sample_663	sample_435	sample_548	sample_906	sample_896	sample_306	sample_514	sample_201	sample_664	sample_872	sample_757	sample_768	sample_988	sample_737	sample_788	sample_831	sample_827	sample_879	sample_802	sample_349	sample_958	sample_703	sample_525	sample_473	sample_197	sample_645	sample_848	sample_946	sample_147	sample_234	sample_396	sample_920	sample_564	sample_626	sample_764	sample_401	sample_310	sample_228	sample_796	sample_409	sample_239	sample_323	sample_146	sample_987	sample_969	sample_889	sample_448	sample_515
taxon_115	73082175	7432086	3716043	40876471	8670767	9909447	8670767	33444385	16102852	18580214	9909447	0	11148128	58218004	3716043	12386809	18580214	0	2477362	4954724	8670767	23534938	19818895	6193405	0	7432086	29728342	0	47069875	4954724	7432086	18580214	2477362	7432086	32205704	0	8670767	4954724	4954724	27250980	9909447	14864171	42115152	26012300	11148128	6193405	40876471	3716043	24773619	76798218	33444385	13625490	35921747	4954724	3716043	16102852	26012300	12386809	1238681	6193405	2477362	2477362	9909447	1238681	34683066	39637790	4954724	14864171	2477362	13625490	22296257	8670767	11148128	33444385	9909447	30967023	8670767	0	38399109	7432086	24773619	1238681	3716043	1238681	19818895	19818895	29728342	14864171	3716043	17341533	19818895	26012300	43353833	8670767	24773619	0	4954724	4954724	27250980	1238681	24773619	2477362	3716043	4954724	48308556	4954724	28489661	28489661	2477362	3716043	4954724	13625490	1238681	63172727	8670767	29728342	34683066	32205704	0	3716043	14864171	1238681	0	9909447	17341533	17341533	4954724	12386809	4954724	27250980	12386809	4954724	29728342	6193405	26012300	8670767	28489661	4954724	32205704	7432086	7432086	12386809	9909447	6193405	24773619	37160428	8670767	42115152	13625490	0	37160428	42115152	23534938	56979323	19818895	66888770	121390731	42115152	4954724	7432086	27250980	59456685	6193405	21057576	6193405	7432086	9909447	34683066	6193405	21057576	11148128	6193405	45831194	16102852	9909447	1238681	12386809	58218004	1238681	53263280	43353833	0	2477362	35921747	8670767	9909447	34683066	3716043	34683066	8670767	8670767	0	13625490	6193405	1238681	0	0	18580214	14864171	54501961
taxon_220	6130460	1341038	4980999	10728305	4789422	6513614	2107346	13601959	11877767	22989226	3065230	1149461	191577	20498726	4980999	3256807	12452497	2490499	7471498	383154	4597845	574731	6130460	3448384	1341038	12835651	16667189	191577	18008227	2873653	2298923	18008227	1724192	2873653	4023114	766308	1915769	6130460	766308	16092458	7663075	6896768	21456611	1915769	18008227	2298923	2298923	1341038	13027228	383154	10728305	3256807	5747306	1149461	1915769	16284035	4980999	7854652	1341038	16667189	1341038	383154	1532615	191577	13793535	7663075	1149461	191577	1532615	383154	14942997	1724192	191577	4214691	2873653	3256807	2682076	1341038	23180803	2298923	2682076	4214691	1724192	1532615	766308	4789422	6705191	2298923	2490499	5938883	7663075	20690303	2682076	4023114	15709304	1724192	191577	6705191	2298923	1915769	6513614	383154	766308	1341038	2873653	4980999	18582957	10536728	1341038	383154	3639961	9195690	383154	8046229	1341038	383154	3831538	4597845	8046229	2107346	2298923	3831538	0	11877767	17816650	18199804	1149461	1341038	1724192	9770421	22989226	1341038	6322037	7663075	35441723	13793535	25288148	14176689	8812537	2682076	1149461	9961998	3256807	1532615	10536728	6705191	574731	24904994	1915769	2298923	12452497	2873653	24521841	1915769	13410382	20498726	8237806	16284035	1532615	1915769	1724192	6322037	1532615	12069343	383154	0	574731	18582957	0	8046229	7471498	7088345	9961998	36974338	191577	1341038	4214691	23947110	191577	12260920	9195690	2682076	3256807	16284035	13793535	4980999	9770421	1149461	3448384	4980999	2490499	766308	14368266	766308	3256807	574731	383154	10919882	4406268	1915769
taxon_192	1268937922	140993102	18799080	75196321	639168731	874157235	300785285	676766892	554572870	667367352	216189424	103394942	131593562	413579767	93995402	488776089	159792183	18799080	75196321	169191723	686166432	263187125	197390343	206789884	9399540	244388044	56397241	65796781	714365052	281986205	291385745	648568271	28198620	9399540	629769191	75196321	28198620	150392643	37598161	432378848	1344134243	2772864348	1052748498	46997701	366582066	46997701	751963213	122194022	150392643	131593562	178591263	225588964	648568271	244388044	216189424	441778388	601570571	1071547579	56397241	56397241	93995402	150392643	150392643	140993102	441778388	385381147	75196321	65796781	75196321	554572870	657967811	93995402	394780687	300785285	131593562	733164133	902355856	9399540	178591263	122194022	1701316770	103394942	112794482	75196321	37598161	1644919529	930554476	197390343	28198620	1372332864	667367352	404180227	338383446	216189424	516974709	93995402	37598161	131593562	986951717	159792183	742563673	84595861	169191723	122194022	657967811	65796781	798960914	1362933324	112794482	0	93995402	686166432	65796781	1391131944	37598161	84595861	272586665	432378848	714365052	159792183	28198620	18799080	0	18799080	648568271	1080947119	28198620	131593562	469977008	667367352	535773789	131593562	140993102	122194022	610970111	545173330	1203141141	319584366	432378848	75196321	18799080	676766892	319584366	0	1503926426	986951717	310184825	883556775	84595861	112794482	2678868947	545173330	1372332864	103394942	1456928725	742563673	939954016	488776089	75196321	46997701	347782986	1597921828	131593562	451177928	37598161	28198620	84595861	281986205	178591263	169191723	84595861	253787584	1315935623	1146743900	122194022	225588964	432378848	140993102	0	357182526	272586665	65796781	225588964	385381147	197390343	864757695	122194022	178591263	225588964	84595861	18799080	18799080	1005750798	169191723	93995402	18799080	385381147	1832910332	338383446	159792183
taxon_40	2121166582	73284066	325706961	154710806	488560441	2585299001	8142674	1441253301	1604106782	1917599731	170996154	52927381	61070055	517059800	118068773	1449395975	455989745	48856044	158782143	162853480	1074832970	16285348	52927381	329778298	52927381	810196065	435633060	248351558	761340021	586272529	162853480	500774452	183210165	105854762	158782143	264636906	150639469	77355403	138425458	936407512	810196065	879408794	2015311820	81426740	480417767	199495513	704341303	81426740	1689604859	431561723	329778298	170996154	2585299001	93640751	191352839	464132419	537416485	1172545059	20356685	154710806	179138828	61070055	203566850	423419049	920122164	924193501	219852198	150639469	244280221	122140110	1144045700	138425458	146568132	358277657	170996154	968978208	464132419	232066210	236137547	175067491	948621523	289064928	362348994	93640751	85498077	1302827843	859052109	663627932	56998718	1319113191	358277657	1213258429	256494232	1172545059	276850917	130282784	252422895	170996154	1779174273	317564287	321635624	52927381	48856044	130282784	631057236	105854762	1225472440	1233615114	252422895	101783425	56998718	594415203	93640751	1262114473	48856044	663627932	122140110	626985899	1021905589	354206320	134354121	105854762	142496795	561844507	370491668	1636677478	28499359	32570696	61070055	1034119600	655485258	52927381	679913281	643271247	981192219	594415203	496703115	683984618	350134983	89569414	24428022	1253971799	179138828	77355403	1367969235	321635624	301278939	2182236637	191352839	89569414	2312519421	1258043136	2609727023	639199910	492631778	700269966	1278399821	411205038	56998718	309421613	765411358	806124728	32570696	350134983	44784707	36642033	227994873	280922254	350134983	863123446	419347712	500774452	785768043	696198629	81426740	138425458	333849635	525202474	4071337	2536442957	1249900462	215780861	134354121	952692860	639199910	2047882516	325706961	101783425	1107403666	56998718	166924817	109926099	1172545059	183210165	89569414	415276375	219852198	1925742405	423419049	211709524
taxon_280	34176450	18986917	11392150	11392150	17088225	7594767	9493458	64555518	83542434	15189534	1898692	7594767	3797383	7594767	1898692	3797383	11392150	0	0	13290842	51264676	3797383	39872526	9493458	0	15189534	7594767	0	13290842	13290842	7594767	62656826	0	1898692	11392150	5696075	0	5696075	0	15189534	81643743	93035893	26581684	0	20885609	9493458	68352901	9493458	1898692	0	11392150	5696075	9493458	7594767	13290842	22784300	62656826	13290842	1898692	0	3797383	0	5696075	5696075	7594767	5696075	3797383	3797383	0	0	9493458	1898692	13290842	7594767	7594767	18986917	51264676	7594767	9493458	7594767	36075142	30379067	0	0	0	32277759	43669909	18986917	5696075	56960751	22784300	5696075	9493458	22784300	9493458	5696075	0	1898692	32277759	17088225	15189534	0	1898692	17088225	0	5696075	17088225	36075142	0	1898692	1898692	5696075	0	3797383	1898692	24682992	11392150	26581684	5696075	15189534	0	5696075	3797383	32277759	18986917	36075142	9493458	3797383	3797383	9493458	47467292	9493458	26581684	1898692	34176450	22784300	136705802	20885609	7594767	3797383	11392150	34176450	20885609	0	64555518	22784300	13290842	64555518	0	1898692	117718885	20885609	72150284	1898692	13290842	18986917	94934585	17088225	1898692	13290842	9493458	56960751	0	62656826	0	1898692	11392150	3797383	1898692	11392150	1898692	7594767	32277759	47467292	11392150	3797383	3797383	15189534	0	17088225	9493458	9493458	17088225	22784300	18986917	70251593	0	3797383	74048976	0	0	7594767	26581684	7594767	1898692	0	11392150	85441126	15189534	1898692
taxon_272	14708540	5308345	9179014	7520156	7188384	9289604	11280234	5861298	7520156	3760078	5529526	2875354	17915666	14708540	7741337	14155588	2211811	17030942	1990630	10063738	7851928	11501415	5640117	7409565	7741337	15261493	2432992	12607320	11059053	2985944	9400195	20459248	5529526	7630747	16920351	10395510	2211811	5529526	6193070	6193070	11833187	3870669	13270864	5640117	6303660	17362713	9510786	6746022	7077794	10395510	8736652	11169644	6082479	8515471	4313031	3981259	4755393	10616691	7851928	4976574	11612006	2654173	6635432	7520156	8957833	9289604	14929722	8404880	7520156	11833187	9179014	10727281	10616691	4091850	8294290	2322401	4313031	5750708	2985944	7851928	6635432	5308345	8957833	12386139	9510786	11059053	15150903	16035627	17141532	9510786	5529526	14819131	14819131	4755393	10727281	4976574	2985944	3207125	10837872	10174329	13823816	23445192	1658858	14597950	10284919	3870669	1437677	7188384	3760078	4091850	6635432	4423621	4202440	6193070	9953148	18800390	8515471	6193070	9510786	4644802	6303660	3649487	6193070	9068423	9179014	19574524	3981259	9731967	11390825	5971889	6967203	4755393	6082479	7741337	12164958	13381454	9068423	4865983	15372084	10948462	12939092	6524841	5197755	10395510	14155588	3317716	4202440	13270864	12717911	5418936	7741337	13049683	10395510	7962518	11169644	11612006	11943777	7630747	6967203	6856613	7741337	7188384	12717911	9179014	5861298	7962518	10616691	2985944	8073109	12939092	6524841	4423621	6967203	7630747	10284919	6746022	9953148	8073109	12496730	14708540	8404880	12496730	7520156	14487359	5418936	9510786	8404880	9289604	4644802	4644802	3317716	7851928	7188384	12607320	2764763	5087164	3870669	25325231	995315	8183699
taxon_183	7139662	492390	984781	7385857	10340200	4677709	3939124	2708148	12063566	12802152	738586	1969562	0	15510300	0	4923905	8863028	738586	1723367	246195	8863028	1477171	5662490	2708148	3692928	3692928	1969562	246195	2708148	13294542	2954343	5908686	738586	2461952	2954343	1969562	2215757	738586	0	3200538	23388547	23634742	9355419	246195	8124443	492390	8863028	246195	10586395	4185319	1230976	2708148	14525519	2215757	3200538	6401076	5908686	12063566	0	5416295	738586	0	1723367	738586	16741276	4677709	492390	4431514	5416295	4431514	17479861	3692928	738586	2708148	3692928	2708148	5416295	3446733	7385857	5662490	13048347	738586	1477171	1723367	0	7632052	11571176	1477171	2954343	7139662	7139662	6154881	9109224	1969562	6893466	246195	984781	4923905	8124443	246195	10340200	984781	738586	1723367	2954343	738586	11078785	4677709	738586	984781	0	18710838	738586	16248885	1230976	492390	4923905	13540738	6647271	1969562	1723367	2215757	0	2708148	6893466	3692928	2215757	984781	984781	17726057	14279323	0	1723367	3692928	9355419	2708148	28558647	9601614	4431514	3692928	2215757	8616833	1969562	492390	6154881	1723367	2461952	7632052	984781	1477171	6893466	20434204	6893466	1969562	17726057	6401076	8863028	9847809	3446733	1230976	2954343	16002690	984781	4185319	246195	1230976	492390	5416295	2461952	6893466	1477171	6893466	16495080	16741276	492390	3200538	8124443	4185319	246195	23880937	9601614	984781	1477171	17233666	9355419	12555957	984781	2215757	7139662	492390	1969562	492390	4677709	738586	738586	738586	1723367	9355419	7385857	3692928
taxon_64	297276596	0	21751946	0	50754541	311777893	0	116010379	123261028	14501297	0	21751946	0	101509081	0	188516866	217519460	14501297	14501297	29002595	36253243	7250649	36253243	21751946	36253243	72506487	123261028	50754541	43503892	435038921	7250649	72506487	14501297	29002595	7250649	0	7250649	7250649	0	36253243	261023352	0	203018163	43503892	652558381	14501297	253772704	36253243	188516866	21751946	108759730	36253243	362532434	50754541	29002595	14501297	159514271	21751946	14501297	174015568	29002595	36253243	87007784	29002595	7250649	58005189	0	14501297	0	355281785	246522055	0	29002595	7250649	14501297	79757135	195767514	29002595	130511676	7250649	101509081	14501297	87007784	29002595	14501297	0	94258433	21751946	14501297	435038921	58005189	7250649	29002595	21751946	7250649	21751946	7250649	7250649	36253243	7250649	29002595	43503892	0	14501297	79757135	29002595	413286975	65255838	0	58005189	14501297	181266217	0	145012974	87007784	94258433	123261028	65255838	29002595	43503892	14501297	14501297	0	50754541	514796056	362532434	7250649	79757135	29002595	58005189	159514271	43503892	210268812	101509081	188516866	0	58005189	0	0	0	21751946	72506487	29002595	7250649	203018163	94258433	50754541	130511676	0	0	29002595	36253243	137762325	7250649	43503892	79757135	145012974	116010379	21751946	7250649	65255838	145012974	50754541	87007784	72506487	7250649	0	65255838	36253243	87007784	0	369783083	101509081	36253243	14501297	72506487	50754541	29002595	0	261023352	29002595	14501297	29002595	50754541	0	145012974	21751946	0	29002595	14501297	21751946	0	29002595	14501297	14501297	0	0	94258433	29002595	181266217
taxon_238	156090355	5145836	27444458	90909767	46312523	118354225	6861114	66895866	63465309	157805633	10291672	1715279	12006950	84048652	1715279	29159737	0	20583343	0	1715279	27444458	6861114	8576393	6861114	6861114	6861114	20583343	1715279	5145836	51458359	6861114	123500061	0	24013901	42881966	13722229	6861114	8576393	0	61750030	25729179	42881966	10291672	8576393	104631996	8576393	140652847	3430557	42881966	0	13722229	27444458	65180588	13722229	6861114	54888916	116638946	116638946	0	6861114	0	1715279	0	5145836	63465309	82333374	1715279	0	3430557	25729179	87479210	32590294	22298622	5145836	27444458	224701499	18868065	15437508	12006950	17152786	82333374	17152786	20583343	6861114	12006950	46312523	178388977	51458359	3430557	17152786	13722229	53173637	56604194	27444458	65180588	1715279	3430557	15437508	65180588	22298622	32590294	10291672	3430557	8576393	75472259	6861114	17152786	121784782	6861114	37736130	6861114	54888916	0	0	17152786	60034752	30875015	60034752	1715279	17152786	27444458	15437508	8576393	0	114923668	149229240	27444458	29159737	6861114	56604194	49743080	22298622	77187538	87479210	12006950	68611145	240139007	15437508	32590294	1715279	41166687	123500061	10291672	3430557	37736130	1715279	80618095	183534812	68611145	0	24013901	6861114	39451408	77187538	96055603	12006950	164666748	92625046	46312523	70326423	5145836	320757102	15437508	84048652	0	3430557	13722229	5145836	0	192111206	22298622	53173637	60034752	44597244	6861114	8576393	0	78902817	1715279	87479210	25729179	3430557	13722229	363639068	22298622	5145836	30875015	15437508	156090355	22298622	3430557	0	12006950	5145836	5145836	5145836	18868065	37736130	22298622	22298622
taxon_17	31112697	49780316	0	22401142	163030535	75914982	49780316	112005711	79648505	105783171	29868190	12445079	1244508	68447934	9956063	4978032	4978032	13689587	9956063	0	11200571	8711555	4978032	44802284	1244508	3733524	27379174	6222539	99560632	24890158	11200571	28623682	19912126	0	1244508	9956063	0	2489016	0	36090729	38579745	251390595	97071616	1244508	21156634	7467047	46046792	1244508	11200571	23645650	17423111	33601713	19912126	12445079	18667618	14934095	108272187	56002855	11200571	1244508	18667618	2489016	2489016	32357205	37335237	17423111	0	16178603	2489016	54758347	107027679	18667618	11200571	7467047	16178603	63469903	124450790	26134666	14934095	14934095	169253074	29868190	3733524	6222539	3733524	159297011	28623682	51024824	8711555	116983742	84626537	73425966	0	4978032	16178603	3733524	1244508	3733524	19912126	2489016	28623682	3733524	0	16178603	4978032	0	49780316	52269332	6222539	0	1244508	60980887	0	105783171	23645650	51024824	41068761	26134666	80893013	17423111	7467047	3733524	1244508	2489016	74670474	72181458	29868190	12445079	3733524	16178603	13689587	7467047	65958919	1244508	0	0	141873900	9956063	31112697	17423111	1244508	155563487	38579745	2489016	159297011	9956063	0	33601713	7467047	14934095	54758347	73425966	99560632	11200571	136895869	70936950	80893013	90849076	2489016	12445079	37335237	80893013	3733524	233967485	0	4978032	12445079	6222539	6222539	21156634	34846221	4978032	69692442	13689587	6222539	2489016	4978032	46046792	0	130673329	34846221	12445079	4978032	133162345	72181458	72181458	13689587	2489016	70936950	4978032	0	4978032	102049648	0	6222539	0	36090729	129428821	28623682	57247363
taxon_234	53581578	21919736	2435526	34097368	121776313	92549998	38968420	68194735	31661841	94985524	17048684	7306579	29226315	60888157	4871053	53581578	26790789	2435526	0	0	19484210	4871053	85243419	17048684	9742105	129082892	21919736	4871053	187535522	26790789	24355263	177793417	9742105	4871053	56017104	7306579	12177631	24355263	0	80372367	87678946	260601310	284956573	2435526	48710525	12177631	231374995	9742105	87678946	34097368	9742105	21919736	38968420	29226315	29226315	36532894	63323683	112034208	12177631	38968420	2435526	24355263	19484210	17048684	168051312	29226315	2435526	12177631	12177631	21919736	177793417	21919736	31661841	12177631	14613158	133953945	73065788	14613158	58452630	17048684	63323683	9742105	14613158	9742105	0	248423679	345844730	9742105	9742105	58452630	56017104	82807893	38968420	48710525	43839473	9742105	7306579	46274999	34097368	9742105	172922365	0	14613158	19484210	38968420	17048684	73065788	131518418	12177631	7306579	4871053	70630262	4871053	26790789	19484210	38968420	85243419	104727629	129082892	29226315	2435526	12177631	0	14613158	168051312	90114472	9742105	17048684	19484210	153438155	189971049	21919736	48710525	24355263	46274999	41403947	141260523	36532894	77936841	4871053	2435526	138824997	36532894	12177631	114469734	31661841	26790789	80372367	12177631	29226315	97421051	38968420	26790789	58452630	109598682	92549998	51146052	82807893	14613158	17048684	29226315	231374995	17048684	70630262	14613158	0	4871053	31661841	21919736	68194735	12177631	56017104	133953945	70630262	12177631	19484210	29226315	97421051	0	70630262	124211840	21919736	36532894	109598682	70630262	90114472	38968420	0	63323683	12177631	2435526	21919736	136389471	9742105	26790789	9742105	21919736	192406575	43839473	31661841
taxon_224	960058	642392	547092	695336	345903	88241	91770	1782460	2520152	324725	91770	278840	74122	564740	345903	236485	367081	45885	24707	420025	1076535	190600	1133009	250603	165892	45885	1178895	225896	1602449	420025	165892	2050712	67063	10589	374140	63533	88241	52944	321196	829462	1013002	285900	1648335	56474	540033	377670	783577	296488	395318	1005943	1037710	105889	1242428	70592	317666	921232	1595390	437673	84711	522384	240014	45885	98829	169422	592977	596507	462381	250603	42355	755340	14118	172952	88241	628273	462381	158833	1418909	141185	550621	232955	300018	465910	28237	127066	88241	494147	525914	631803	67063	522384	56474	324725	412966	282370	1020061	398848	102359	24707	1718927	271781	815343	105889	130596	194129	74122	183540	257663	1764812	141185	38826	56474	1242428	127066	98829	314137	914173	1493031	1083595	762399	240014	21178	292959	98829	1701279	52944	660040	172952	197659	169422	621214	1782460	240014	2096597	289429	995354	529444	2654277	405907	864758	116478	345903	818873	190600	35296	903584	857699	172952	1337728	63533	112948	1877760	815343	2594274	204718	240014	896525	1373024	236485	127066	169422	631803	780047	84711	1415379	63533	338844	423555	585918	317666	462381	158833	1680101	674158	2033064	194129	155303	416496	487088	77652	695336	628273	529444	155303	854169	871817	871817	420025	218837	1069476	102359	35296	183540	730632	370611	201189	151774	261192	1104772	903584	134126
taxon_63	25184738	20987281	18888553	27283466	138516056	23086009	23086009	44073291	65060572	14691097	8394913	0	8394913	18888553	14691097	121726231	69258028	6296184	4197456	48270747	44073291	8394913	262341016	12592369	4197456	79751669	18888553	6296184	94442766	20987281	0	37777106	8394913	2098728	2098728	6296184	18888553	14691097	8394913	157404610	52468203	62961844	117528775	6296184	35678378	33579650	4197456	18888553	16789825	27283466	12592369	10493641	134318600	0	25184738	37777106	60863116	39875834	12592369	4197456	2098728	18888553	6296184	4197456	52468203	0	4197456	8394913	2098728	0	125923688	0	4197456	10493641	41974563	125923688	165799522	2098728	107035135	12592369	14691097	0	18888553	16789825	8394913	134318600	6296184	6296184	8394913	35678378	48270747	138516056	20987281	75554213	39875834	6296184	8394913	39875834	69258028	10493641	41974563	0	2098728	18888553	20987281	2098728	33579650	186786803	0	2098728	0	2098728	8394913	94442766	16789825	12592369	6296184	18888553	186786803	4197456	23086009	12592369	6296184	62961844	73455484	10493641	2098728	2098728	20987281	100738950	100738950	12592369	155305882	27283466	6296184	14691097	0	14691097	12592369	2098728	6296184	37777106	10493641	10493641	6296184	203576628	14691097	4197456	18888553	20987281	65060572	48270747	10493641	6296184	169996978	178391891	218267725	54566931	0	18888553	75554213	4197456	33579650	25184738	4197456	12592369	20987281	39875834	41974563	0	56665659	33579650	71356756	138516056	6296184	6296184	16789825	50369475	0	77652941	18888553	23086009	33579650	12592369	48270747	73455484	29382194	29382194	23086009	6296184	6296184	8394913	41974563	6296184	0	2098728	18888553	4197456	54566931	18888553
taxon_237	155934267	30844141	3427127	17135634	214195422	150793577	78823915	340999111	106240929	97673112	39411958	23989887	10281380	171356337	15422070	104527366	27417014	0	13708507	15422070	258748069	54834028	111381619	71969662	8567817	18849197	106240929	3427127	109668056	342712675	23989887	347853365	13708507	44552648	109668056	3427127	5140690	34271267	0	178210591	190205534	925324221	143939323	6854253	22276324	78823915	202200478	34271267	63401845	0	30844141	71969662	63401845	35984831	27417014	155934267	210768295	460948547	5140690	25703451	13708507	22276324	75396788	15422070	245039562	128517253	17135634	44552648	1713563	20562760	404400956	10281380	73683225	10281380	68542535	508928322	140512197	11994944	8567817	65115408	200486915	30844141	51406901	17135634	0	565475913	418109463	154220704	78823915	210768295	47979774	41125521	65115408	44552648	53120465	6854253	0	47979774	116522309	5140690	310154970	3427127	35984831	41125521	23989887	34271267	125090126	260461633	5140690	1713563	1713563	131944380	30844141	219336112	5140690	154220704	284451520	6854253	65115408	102813802	13708507	3427127	6854253	3427127	455807857	548340279	35984831	13708507	41125521	423250153	159361394	49693338	17135634	39411958	44552648	157647830	558621660	102813802	42839084	1713563	37698394	550053843	63401845	6854253	294732900	54834028	22276324	95959549	0	41125521	508928322	181637718	203914041	39411958	219336112	130230816	238185309	820796856	70256098	53120465	20562760	750540757	22276324	205627605	27417014	29130577	17135634	49693338	10281380	154220704	34271267	65115408	335858421	483224871	47979774	29130577	5140690	118235873	0	186778408	92532422	22276324	99386676	186778408	202200478	154220704	47979774	8567817	63401845	65115408	0	3427127	183351281	34271267	17135634	10281380	18849197	1261182642	54834028	109668056
taxon_95	914363	244919	1894038	1583807	930691	1649119	881707	1469512	1338889	979675	277574	1273577	1355216	1371544	947019	1420528	1632791	2138956	1943021	1126626	1714431	898035	947019	1371544	293902	1681775	1191937	1420528	408198	1567479	1404200	1012330	1502168	1616463	1142954	538821	1698103	1665447	261247	1763414	767412	1355216	359214	783740	2253252	1518496	4522831	277574	506165	1453184	1355216	2073645	767412	816395	506165	1926693	1224593	1028658	1796070	1763414	1044986	1044986	947019	816395	1191937	1208265	1126626	2612466	1224593	1845054	947019	2155284	1338889	2040989	1600135	800068	1012330	1061314	1306233	604133	800068	734756	1061314	1502168	506165	1534824	1861382	1126626	408198	1338889	2155284	1142954	653116	604133	1583807	1894038	1894038	326558	2236924	1191937	1485840	881707	604133	865379	1387872	1730758	1436856	767412	4294240	1943021	1975677	1110298	1322561	1632791	1894038	1910365	1861382	881707	914363	1289905	636788	1518496	2089972	2759417	1730758	3020663	604133	1044986	963347	1355216	1322561	1502168	1812398	865379	2089972	555149	1747086	1763414	996002	1616463	1289905	587805	2432859	408198	881707	424526	1355216	979675	1306233	1110298	1698103	1420528	996002	179607	783740	1191937	963347	1273577	718428	2187940	1404200	849051	522493	1877710	1093970	1044986	1306233	1747086	1012330	293902	1600135	1371544	751084	963347	2040989	898035	1257249	914363	865379	1616463	947019	1649119	1534824	2253252	1012330	1779742	996002	1077642	1224593	1257249	1763414	375542	1518496	424526	1812398	1796070	408198	1289905	1894038	3020663
taxon_278	26357710	6521495	543458	3260748	25542523	39672430	6521495	2173832	20107944	13586449	815187	2445561	3260748	5706308	1358645	20651402	5706308	2717290	1902103	1630374	2173832	5706308	24183878	1630374	0	7880140	2173832	543458	36411682	4075935	7336682	30161916	0	271729	6793224	271729	1086916	1358645	0	25814252	19836215	18749299	9238785	2717290	10597430	5434579	10053972	2717290	12771262	3260748	17662383	8695327	6793224	5978037	17390654	1358645	8423598	9510514	1086916	26901168	815187	1902103	17662383	8423598	20379673	8695327	3532477	10597430	543458	3260748	17118925	2445561	12771262	5978037	3532477	87225000	27444626	271729	5162850	2989019	22281776	271729	2445561	1358645	2173832	31792290	33150934	20107944	3804206	13858178	11956075	12771262	4347664	5706308	5706308	1358645	0	2989019	10597430	543458	815187	2445561	2717290	1630374	18477570	1630374	71736448	28259813	1358645	815187	3260748	5706308	0	11684346	9238785	5162850	29346729	6793224	3532477	7880140	2989019	1630374	0	4891121	36139953	12499533	14129906	1086916	2445561	22281776	28531542	1902103	7336682	7336682	5434579	1630374	33422663	2173832	15216822	1358645	815187	13314720	8151869	3260748	18477570	4075935	5706308	2989019	4891121	2445561	42389719	26085981	53530607	1630374	16847196	5706308	10325701	22281776	0	1358645	10053972	41031075	2989019	6521495	543458	2173832	1086916	15488551	1358645	6793224	815187	0	23096963	53530607	2989019	5978037	543458	7880140	0	20379673	12771262	0	7608411	2989019	16032009	52987149	2445561	543458	17390654	0	0	543458	4891121	5978037	1902103	5978037	2717290	42117990	271729	36139953
taxon_195	659951	149989	59996	0	779942	1049921	359973	479964	119991	839937	59996	59996	59996	569957	29998	719946	89993	29998	89993	209984	359973	59996	419969	239982	89993	299978	419969	29998	389971	419969	59996	569957	269980	29998	449966	0	119991	59996	0	539960	449966	2039847	719946	29998	0	29998	509962	149989	599955	0	149989	179987	239982	0	29998	449966	2189836	1859861	89993	389971	179987	119991	89993	29998	569957	1199910	89993	449966	359973	119991	539960	0	149989	0	479964	119991	419969	59996	29998	269980	59996	269980	209984	209984	0	1259906	2369823	209984	239982	689948	179987	869935	179987	149989	149989	0	0	59996	569957	29998	959928	29998	629953	0	509962	0	1349899	509962	0	0	29998	179987	179987	2459816	0	719946	599955	59996	59996	149989	89993	0	59996	29998	1559883	329975	59996	0	89993	1529886	149989	59996	149989	119991	0	1859861	1319901	209984	359973	0	179987	1259906	179987	59996	3029773	1019924	89993	509962	179987	179987	1139915	659951	809939	119991	1079919	59996	749944	419969	329975	179987	269980	1829863	0	509962	0	59996	59996	179987	29998	209984	59996	179987	719946	989926	179987	59996	419969	569957	0	929930	479964	89993	29998	29998	119991	269980	239982	59996	0	29998	0	149989	869935	59996	29998	119991	89993	1799865	119991	149989
